,Sentiment,Tweet
0,0.0,You can no longer defend this Make up any excuse or reason you want it s intentional and it s racist
1,0.0,Everyone in this sick
2,1.0,Good It come from China
3,1.0,Corona day it just like again and again
4,1.0,Pretty much any corona virus germ that to or my body these be all be body by t
5,0.0,s irresponsible and criminal behavior in the wake of COVID will leave it in its global position in
6,0.0,be also veteran Clay per
7,1.0,Dear news press around the country during this Corona Virus Emergency have sign
8,0.0,start a resource thread for and for small affect by corona We start PLEASE SHARE
9,0.0,There be a nasty flu that go round in early m tell you that be corona Bare be sick
10,1.0,But be these enough I don t think so bed capacity not good How about the whole t wGXx bMW a
11,1.0,This be Generation Z I want to name that because love call everybody and under
12,1.0,If he t so vain as to eschew wear the glass he OBVIOUSLY need the font t be so big and we t
13,1.0,The only man who can save us from corona virus t Qoc QhVYm
14,1.0,A Men Somebody check on this
15,0.0,Disgusting But s clutch our s riff on These be actively kill
16,0.0,only can go THIRD BEST SELLING ALBUM Then Wait Third best sell album
17,0.0,this incompetent racist
18,1.0,clara fig
19,1.0,Sigh rip
20,1.0,We must bring fully into the WHO now To date around of COVID despite its proximity
21,0.0,Shehzad Ind of daily domestic help spot on will lose livelihood due to
22,1.0,If I get corona I get corona say one student on spring break in At the end of the day m not
23,0.0,You can no longer defend this Make up any excuse or reason you want it s intentional and it s racist t
24,1.0,a new symptom of the corona virus be just discover s which to Juicy
25,1.0,ed solomon This be repugnant
26,1.0,CleanMy Sprite Day of the quarantine away from my Me t bYsnv fEAq
27,1.0,DJFirstClass Me My Walking In The Club After The Corona Epidemic End t UvCiTK uG
28,1.0,iam erhnehst Everything be fine in the world until decide to take the premier league title World war
29,1.0,What s the problem What be you go through You can talk to me You can t commit suicide in t orSyqMy Fv
30,0.0,be sit at home about the corona but watch anime on illegal worry about the wrong virus
31,0.0,PatPenn Bill Hemmer on Fox just have a Doctor on that say Corona can be stop within with Chloroquine Hemmer be
32,1.0,s a scene from s special on corona virus t qGuSfyjpK
33,0.0,C mo lo es la si no es el Real t n F Hfif B
34,1.0,Congress be shout that China handle Corona well but not They never say that
35,0.0,They make corona a black thing but
36,0.0,toriarenee This be for CORONA you big fat white nasty smell fat bitch why you take me off the schedule with your
37,1.0,this because corona t ofBDQE RJ
38,1.0,Corona Virus in CA most t pdzqtvON V
39,0.0,holy I hate every person in this video
40,1.0,kifayat pak Even the tertiary care hospital of not to admit this patient corona
41,1.0,s a tie between the pizza while see your accidental murderer or those potatoes t
42,1.0,corona or no corona away from people be always a good idea
43,1.0,T Rova Official if corona virus be an actual person t nZkqcuiqH
44,1.0,I t believe The be drop a solo album tonight same way I t believe I you so low you
45,1.0,If I get corona I get corona At the end of the day I m not let it stop me from Spring be
46,0.0,Da s um Dessa as o e eu o
47,1.0,make sing as corona virus now top over k t HPVjPn fso
48,0.0,If the corona virus t slow down in the next few I m go to physically feel all days pass by in t Ol I rHrX
49,0.0,Tshi Nakanyane Corona virus definitely be there What we experience a common cold be often by corona virus or
50,0.0,daniela florezz This corona virus me of my ex with everyone
51,1.0,for the to stop casualty and city so the staff can help out with the corona
52,0.0,all dirty bring corona home from now s by in HRS
53,1.0,As the to interact with state the one state he and may wish to hold up as a exemplar in
54,1.0,CORONA BEAT CHALLENGE t pPrOM MmB
55,0.0,We make yesterday eat one freeze two My make some random t GPp jO w j
56,1.0,Suggestion against prevention Of corona stop couple and oral contact till
57,1.0,Close up of President be see where he cross out Corona and it with
58,1.0,iroha amamizu t F k aCbFV
59,0.0,So a bunch of Republican get about how bad the corona virus pandemic might become and
60,1.0,Final year Last Card Pick Corona Everybody General Market t YCrOU dzd
61,1.0,I you a new Corona Virus be I run of the show M would die
62,1.0,re in quarantine so if ur still not get booty ur a loser
63,1.0,God be Bigger than Corona virus God be Bigger than Corona virus God be Bigger than Corona virus God be Bigger than Corona
64,1.0,be a basic or general name for the type of virus that the crown like on their exterior which there
65,0.0,G to know why be the only get the corona virus do all put in the
66,1.0,Can everyone just stay at home please so that corona off quickly and then we can carry on and enjoy our summer
67,1.0,The Corona beer be the best all about come together with your family of birth or of choice
68,1.0,Stout s a global pandemic not a hamstring strain
69,1.0,LA now on from home order If you re in LA please abide by this for your safety and that of our community
70,1.0,If I get corona I get corona At the end of the day I m not let it stop me from
71,1.0,Much
72,1.0,The Grand Princess cruise from hell have know patient It since be
73,1.0,be red be blue How about you keep your on you Don t come in my bubble Or I will pop you t SY VHjzxx
74,0.0,So please keep your on you Because I promise you I hit harder than the Corona and the flu t K IY xZQXr
75,0.0,DeAnna Congress I have a horrible flu a few ago It might have be Corona But how would you actually know
76,1.0,BJP India My have never disappoint me whenever I have something from you In the face of the acute crisis
77,1.0,If there be anything this Corona Virus teach us be that there be no excuse for not to have the
78,1.0,swear they infectious disease t sRVwujoD
79,0.0,How Long Will Tolerate Corona Madness t WYj zs H P
80,1.0,t Q pCSN tV
81,1.0,everyone come out of corona as
82,1.0,I m legit off at these republican for dump stock after their Corona brief t N CRZe KQ
